Account,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Text
CBS News,0.0,Wed Mar 07 20:30:32 +0000 2018,1.0,0.0,0.0,"What's a WcDonald's? The McDonald's in Lynwood, California, flipped their golden arches upside down -- but the Amer… https://t.co/pFCI9QqBvt"
CBS News,0.0,Wed Mar 07 20:06:11 +0000 2018,1.0,0.0,0.0,"Q: ""This president was a businessman before he became a politician. Understanding business, if there's high turnove… https://t.co/XxIaSR8dTV"
CBS News,0.5719,Wed Mar 07 20:03:14 +0000 2018,0.829,0.0,0.171,".@PressSec on Stormy Daniels: ""As I outlined earlier, this case had already been won in arbitration. And that there… https://t.co/KQHGZdNp6q"
CBS News,0.0,Wed Mar 07 19:52:22 +0000 2018,1.0,0.0,0.0,"Q: ""Why are so many people leaving this administration?""
@PressSec: ""This administration has had a historic first y… https://t.co/diMVlhi96I"
CBS News,-0.1027,Wed Mar 07 19:50:17 +0000 2018,0.8,0.11,0.09,WATCH LIVE: @PressSec Sarah Huckabee Sanders holds White House briefing following resignation of top Trump aide Gar… https://t.co/jd9RxFYVyX
CBS News,0.5859,Wed Mar 07 19:29:01 +0000 2018,0.798,0.0,0.202,Anonymous New Hampshire Powerball winner plans to donate portion of $559 million jackpot to charity:… https://t.co/K7Q5j8YOIe
CBS News,0.2023,Wed Mar 07 18:59:31 +0000 2018,0.766,0.099,0.135,"NEW: Broward County Grand Jury indicts Florida school shooting suspect Nikolas Cruz, charging him with 17 counts of… https://t.co/qhjdqFuTNt"
CBS News,-0.5574,Wed Mar 07 18:55:01 +0000 2018,0.816,0.184,0.0,The Trump administration is lifting the ban on importing sport-hunted elephant trophies from several African countr… https://t.co/yH7Psdw7C8
CBS News,0.3818,Wed Mar 07 18:40:32 +0000 2018,0.874,0.0,0.126,"Sonic announced a new burger that replaces part of the beef in patties with mushrooms. The company promises ""juicy… https://t.co/Br97QbjpYd"
CBS News,-0.743,Wed Mar 07 18:20:01 +0000 2018,0.741,0.259,0.0,British police say they believe a Russian former spy and his daughter were poisoned with a nerve agent; attack is b… https://t.co/Y77Et6UpGv
CBS News,0.3182,Wed Mar 07 18:12:04 +0000 2018,0.797,0.076,0.127,"RT @CBSThisMorning: On this day 53 years ago, peaceful protesters in Selma, Alabama, began a march across the Edmund Pettus Bridge in a dem…"
CBS News,0.0,Wed Mar 07 18:05:38 +0000 2018,1.0,0.0,0.0,"FBI Director Christopher Wray says hacking has ""mushroomed into full-blown economic espionage""… https://t.co/4OHMh9FU3P"
